ユリウス暦,749/1/23,2月22日,3月23日,4月21日,5月21日,6月20日,7月19日,8月18日,9月16日,10月16日,11月15日,12月14日,750/1/13
天平勝宝二年（庚寅）,一月,二月※,三月※,四月,五月※,六月,七月※,八月,九月,十月,十一月※,十二月,
ユリウス暦,750/2/11,3月13日,4月11日,5月10日,6月9日,7月8日,8月7日,9月5日,10月5日,11月4日,12月4日,751/1/2,
天平勝宝三年（辛卯）,一月※,二月,三月※,四月※,五月,六月※,七月,八月※,九月,十月,十一月※,十二月,
ユリウス暦,751/2/1,3月2日,4月1日,4月30日,5月29日,6月28日,7月27日,8月26日,9月24日,10月24日,11月23日,12月22日,
天平勝宝四年（壬辰）,一月,二月※,三月,閏三月※,四月※,五月,六月※,七月※,八月,九月,十月※,十一月,十二月
ユリウス暦,752/1/21,2月20日,3月20日,4月19日,5月18日,6月16日,7月16日,8月14日,9月12日,10月12日,11月11日,12月10日,753/1/9
天平勝宝五年（癸巳）,一月,二月※,三月,四月※,五月※,六月,七月※,八月※,九月,十月,十一月※,十二月,
ユリウス暦,753/2/8,3月10日,4月8日,5月8日,6月6日,7月5日,8月4日,9月2日,10月1日,10月31日,11月30日,12月29日,
天平勝宝六年（甲午）,一月,二月,三月※,四月,五月※,六月※,七月,八月※,九月※,十月,閏十月※,十一月,十二月
ユリウス暦,754/1/28,2月27日,3月29日,4月27日,5月27日,6月25日,7月24日,8月23日,9月21日,10月20日,11月19日,12月18日,755/1/17
天平勝宝七年（乙未）,一月,二月※,三月,四月※,五月,六月※,七月,八月※,九月※,十月,十一月※,十二月,
ユリウス暦,755/2/16,3月18日,4月16日,5月16日,6月14日,7月14日,8月12日,9月11日,10月10日,11月8日,12月8日,756/1/6,
天平勝宝八年（丙申）,一月,二月※,三月,四月,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
ユリウス暦,756/2/5,3月6日,4月4日,5月4日,6月3日,7月2日,8月1日,8月30日,9月29日,10月28日,11月27日,12月26日,
天平勝宝九年（丁酉）,一月※,二月,三月※,四月,五月※,六月,七月,八月※,閏八月,九月※,十月,十一月※,十二月
ユリウス暦,757/1/25,2月23日,3月25日,4月23日,5月23日,6月21日,7月21日,8月20日,9月18日,10月18日,11月16日,12月16日,758/1/14
天平宝字元年（丁酉）,一月※,二月,三月※,四月,五月※,六月,七月,八月※,閏八月,九月※,十月,十一月※,十二月
ユリウス暦,757/1/25,2月23日,3月25日,4月23日,5月23日,6月21日,7月21日,8月20日,9月18日,10月18日,11月16日,12月16日,758/1/14
天平宝字二年（戊戌）,一月※,二月※,三月,四月※,五月,六月,七月※,八月,九月,十月※,十一月,十二月※,
ユリウス暦,758/2/13,3月14日,4月12日,5月12日,6月10日,7月10日,8月9日,9月7日,10月7日,11月6日,12月5日,759/1/4,
天平宝字三年（己亥）,一月,二月※,三月※,四月,五月※,六月,七月※,八月,九月,十月※,十一月,十二月,
ユリウス暦,759/2/2,3月4日,4月2日,5月1日,5月31日,6月29日,7月29日,8月27日,9月26日,10月26日,11月24日,12月24日,
天平宝字四年（庚子）,一月※,二月,三月※,四月※,閏四月,五月※,六月※,七月,八月,九月※,十月,十一月,十二月
ユリウス暦,760/1/23,2月21日,3月22日,4月20日,5月19日,6月18日,7月17日,8月15日,9月14日,10月14日,11月12日,12月12日,761/1/11
天平宝字五年（辛丑）,一月※,二月,三月※,四月※,五月,六月※,七月,八月※,九月,十月※,十一月,十二月※,
