宝永,1704-04-16,1711-06-11,,,,,,,
正徳,1711-06-11,1716-08-09,,,,,,,
享保,1716-08-09,1736-06-07,,,,,,,
元文,1736-06-07,1741-04-12,,,,,,,
寛保,1741-04-12,1744-04-03,,,,,,,
延享,1744-04-03,1748-08-05,,,,,,,
寛延,1748-08-05,1751-12-14,,,,,,,
宝暦,1751-12-14,1764-06-30,,,,,,,
明和,1764-06-30,1772-12-10,,,,,,,
安永,1772-12-10,1781-04-25,,,,,,,
天明,1781-04-25,1789-02-19,,,,,,,
寛政,1789-02-19,1801-03-19,,,,,,,
享和,1801-03-19,1804-03-22,,,,,,,
文化,1804-03-22,1818-05-26,,,,,,,
文政,1818-05-26,1831-01-23,,,,,,,
天保,1831-01-23,1845-01-09,,,,,,,
弘化,1845-01-09,1848-04-01,,,,,,,
嘉永,1848-04-01,1855-01-15,,,,,,,
安政,1855-01-15,1860-04-08,,,,,,,
万延,1860-04-08,1861-03-29,,,,,,,
文久,1861-03-29,1864-03-27,,,,,,,
元治,1864-03-27,1865-05-01,,,,,,,
慶応,1865-05-01,1868-10-23,,,,,,,
明治,1868-10-23,1912-07-30,,,,,,,
大正,1912-07-30,1926-12-25,,,,,,,
昭和,1926-12-25,1989-01-07,,,,,,,
平成,1989-01-08,2019-04-30,,,,,,,
令和,2019-05-01,,,,,,,,
