グレゴリオ暦,1836/2/17,3月17日,4月16日,5月15日,6月14日,7月14日,8月12日,9月11日,10月10日,11月9日,12月8日,1837/1/7,
ユリウス暦,1836/2/5,3月5日,4月4日,5月3日,6月2日,7月2日,7月31日,8月30日,9月28日,10月28日,11月26日,12月26日,
天保八年（丁酉）,一月,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1837/2/5,3月7日,4月5日,5月5日,6月3日,7月3日,8月1日,8月31日,9月30日,10月29日,11月28日,12月27日,
ユリウス暦,1837/1/24,2月23日,3月24日,4月23日,5月22日,6月21日,7月20日,8月19日,9月18日,10月17日,11月16日,12月15日,
天保九年（戊戌）,一月※,二月,三月※,四月,閏四月※,五月※,六月,七月,八月※,九月,十月,十一月※,十二月
グレゴリオ暦,1838/1/26,2月24日,3月26日,4月24日,5月24日,6月22日,7月21日,8月20日,9月19日,10月18日,11月17日,12月17日,1839/1/15
ユリウス暦,1838/1/14,2月12日,3月14日,4月12日,5月12日,6月10日,7月9日,8月8日,9月7日,10月6日,11月5日,12月5日,1839/1/3
天保十年（己亥）,一月※,二月,三月※,四月※,五月,六月※,七月,八月※,九月,十月,十一月,十二月※,
グレゴリオ暦,1839/2/14,3月15日,4月14日,5月13日,6月11日,7月11日,8月9日,9月8日,10月7日,11月6日,12月6日,1840/1/5,
ユリウス暦,1839/2/2,3月3日,4月2日,5月1日,5月30日,6月29日,7月28日,8月27日,9月25日,10月25日,11月24日,12月24日,
天保十一年（庚子）,一月,二月,三月※,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月,
グレゴリオ暦,1840/2/3,3月4日,4月3日,5月2日,5月31日,6月29日,7月29日,8月27日,9月26日,10月25日,11月24日,12月24日,
ユリウス暦,1840/1/22,2月21日,3月22日,4月20日,5月19日,6月17日,7月17日,8月15日,9月14日,10月13日,11月12日,12月12日,
天保十二年（辛丑）,一月※,閏一月,二月※,三月,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月※
グレゴリオ暦,1841/1/23,2月21日,3月23日,4月21日,5月21日,6月19日,7月18日,8月17日,9月15日,10月15日,11月13日,12月13日,1842/1/12
ユリウス暦,1841/1/11,2月9日,3月11日,4月9日,5月9日,6月7日,7月6日,8月5日,9月3日,10月3日,11月1日,12月1日,12月31日
天保十三年（壬寅）,一月,二月,三月※,四月,五月※,六月※,七月,八月※,九月,十月※,十一月,十二月※,
グレゴリオ暦,1842/2/10,3月12日,4月11日,5月10日,6月9日,7月8日,8月6日,9月5日,10月4日,11月3日,12月2日,1843/1/1,
ユリウス暦,1842/1/29,2月28日,3月30日,4月28日,5月28日,6月26日,7月25日,8月24日,9月22日,10月22日,11月20日,12月20日,
天保十四年（癸卯）,一月,二月,三月,四月※,五月,六月※,七月※,八月,九月※,閏九月,十月※,十一月,十二月※
グレゴリオ暦,1843/1/30,3月1日,3月31日,4月30日,5月29日,6月28日,7月27日,8月25日,9月24日,10月23日,11月22日,12月21日,1844/1/20
ユリウス暦,1843/1/18,2月17日,3月19日,4月18日,5月17日,6月16日,7月15日,8月13日,9月12日,10月11日,11月10日,12月9日,1844/1/8
天保十五年（甲辰）,一月,二月,三月※,四月,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1844/2/18,3月19日,4月18日,5月17日,6月16日,7月15日,8月14日,9月12日,10月12日,11月10日,12月10日,1845/1/8,
ユリウス暦,1844/2/6,3月7日,4月6日,5月5日,6月4日,7月3日,8月2日,8月31日,9月30日,10月29日,11月28日,12月27日,
弘化元年（甲辰）,一月,二月,三月※,四月,五月※,六月,七月※,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1844/2/18,3月19日,4月18日,5月17日,6月16日,7月15日,8月14日,9月12日,10月12日,11月10日,12月10日,1845/1/8,
ユリウス暦,1844/2/6,3月7日,4月6日,5月5日,6月4日,7月3日,8月2日,8月31日,9月30日,10月29日,11月28日,12月27日,
弘化二年（乙巳）,一月※,二月,三月※,四月,五月,六月※,七月,八月※,九月,十月※,十一月,十二月※,
グレゴリオ暦,1845/2/7,3月8日,4月7日,5月6日,6月5日,7月5日,8月3日,9月2日,10月1日,10月31日,11月29日,12月29日,
ユリウス暦,1845/1/26,2月24日,3月26日,4月24日,5月24日,6月23日,7月22日,8月21日,9月19日,10月19日,11月17日,12月17日,
弘化三年（丙午）,一月,二月※,三月,四月※,五月,閏五月※,六月,七月,八月※,九月,十月※,十一月,十二月※
グレゴリオ暦,1846/1/27,2月26日,3月27日,4月26日,5月25日,6月24日,7月23日,8月22日,9月21日,10月20日,11月19日,12月18日,1847/1/17
